"Part";"Value";"Device";"Package";"Description";"ADC-RESOLUTION";"ALIASES";"BRAND";"CABLE_ASSEMBLY_31564";"CABLE_ASSEMBLY_31565";"CASE";"CERAMIC";"COLOR";"CONTACT-MATERIAL";"CONTACT_GENDER";"CONTACT_MATERIAL";"CONTACT_PLATING";"CONTACT_RESISTANCE";"CRIMP_SOCKET_FEMALE_32-28AWG_50058-8100";"CRIMP_SOCKET_FEMALE__28-26AWG_50079-8100";"CURRENT-RATING";"DATA-RAM-TYPE";"DATA-RATE";"DESIGN";"DIGI-KEY";"DISTRELEC";"DRIVE-LEVEL";"EFFICIENCY";"ESR";"FARNELL";"FLAMABILITY_RATING";"FREQUENCY";"FREQUENCY-STABILITY";"FREQUENCY_BAND";"HOUSING-MATERIAL";"IF";"IMPEDANCE";"INPUT-VOLTAGE";"INSOLATION-VOLTAGE";"INSULATION-RESISTANCE";"INTERFACE-TYPE";"INTERFACE_TYPE";"IR-REVERSE";"LOAD_CAPACITANCE";"LUMINOUS-INTENSITY";"MANUFACOR";"MANUFACTOR";"MANUFACTURER";"MATING-POST-LENGHT";"MAX-CLOCK-FREQUENCY";"MAXIMUM_DC_CURRENT";"MAX_DC_RESISTANCE";"MFR-NO";"MFR_NO";"MOUNTING-ANGLE";"MOUNTING_ANGLE";"MOUNTING_STYLE";"MOUSER";"MPN";"NUMBER-OF-ADC-CHANNELS";"NUMBER-OF-CHANNELS";"NUMBER-OF-IOS";"NUMBER-OF-OUT";"NUMBER-OF-TIMERS-COUNTERS";"NUMBER_CONTACT";"NUMBER_OF_POSITION";"NUMBER_OF_ROW";"NUMBER_PORT";"OPERATING-FORCE";"OPERATING-SUPPLY-VOLTAGE";"OPERATING-TEMPERATURE";"OPERATING-TEMPERATURE-RANG";"OPERATING-TEMPERATURE-RANGE";"OPERATING-VOLTAGE";"OPERATING_SUPPLY_VOLTAGE";"OPERATING_TEMPERATURE";"OPERATING_TEMPERATURE_RANGE";"OPERATIN_TEMPERATURE";"ORIENTATION";"OUT";"OUT-CURRENT";"OUT-TYPE";"PACKAGE";"PITCH";"POLE-NO";"POLE_NO";"POWER";"POWER-RATING";"PRICE";"PRODUCT";"PRODUCT-TYPE";"PRODUCTS";"PRODUCT_CATEGORY";"PRODUCT_TYPE";"QUALIFICATION";"RATED-CURRENT";"RATED-VOLTAGE";"RATED_CURRENT";"RATED_VOLTAGE";"RISE-TIME";"SERIES";"SHELL-PLATING";"SOCKET_51021-0200";"SOCKET_51021-0600";"SPECIFICATIONS";"SPEED";"STANDARD";"SUPPLIER";"SUPPLY-SUPPLY-CURRENT";"SUPPLY_VOLTAGE";"SWITCH-FONCTION";"TEMPERATURE_COEFFICIENT";"TERMINATION-POST-LENGHT";"TERMINATION_STYLE";"TOLERANCE";"TYPE";"U-NOM";"U_NOM";"VF";"VIEWING-ANGLE";"VOLTAGE";"VOLTAGE-RATING";"VR";"VZ_ZENER_VOLTAGE";"WAVELENGTH";"ZENER_IMPEDANCE";
"LED1";"HSMQ-C190";"HSMQ-C190";"CHIP-LED-0603";"SMD LED Green, HSMQ-C190, Broadcom Limited, Package 0603, Light colour green, Mouser : 630-HSMQ-C190";"";"";"";"";"";"0603";"";"Green";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2917791";"";"";"";"";"";"20mA";"";"";"";"";"";"";"";"";"145 mcd";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-HSMQ-C190";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,4V";"140 deg";"";"";"5V";"";"520nm";"";
"LED2";"HSMR-C190";"HSMR-C190";"CHIP-LED-0603";"SMD LED blue, HSMR-C190, Broadcom Limited, Package 0603, Light colour blue, Mouser : 630-HSMR-C190";"";"";"";"";"";"0603";"";"Blue";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1652108";"";"";"";"";"";"20mA";"";"";"";"";"";"";"";"";"55 mcd";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-HSMR-C190";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,4V";"140 deg";"";"";"5V";"";"473nm";"";
"LED3";"HSMR-C190";"HSMR-C190";"CHIP-LED-0603";"SMD LED blue, HSMR-C190, Broadcom Limited, Package 0603, Light colour blue, Mouser : 630-HSMR-C190";"";"";"";"";"";"0603";"";"Blue";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1652108";"";"";"";"";"";"20mA";"";"";"";"";"";"";"";"";"55 mcd";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-HSMR-C190";"";"";"";"";"";"";"";"";"";"";"";"";"";"-40...+85 °C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"78mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,4V";"140 deg";"";"";"5V";"";"473nm";"";
"OK1";"ACPL-M21L";"ACPL-M21L";"SO-5";"High Speed Optocouplers Optocoupler 5MBd, case SO-5, Avago, Mouser : 630-ACPL-M21L-500E";"";"";"";"";"";"SO-5";"";"";"";"";"";"";"";"";"";"";"";"5 Mbps";"";"";"";"";"";"";" 2213628";"";"";"";"";"";"2.2 mA";"";"";"3750 Vrms";"";"";"";"";"";"";"";"";"Broadcom Limited";"";"";"";"";"";"";"";"";"";"630-ACPL-M21L-500E";"";"";"1";"";"";"";"";"";"";"";"";"";"-40°C ~ 105°C";"";"";"2.7 V to 5.5 V";"";"";"";"";"";"";"10mA";"Photo IC";"";"";"";"";"";"";"";"High Speed Optocouplers";"";"";"";"";"";"";"";"";"";"11ns";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.5 V";"";"";"";"5V";"";"";"";
"Q1";"CX5032GA08000H0PST02";"CX5032GA08000H0PST02";"CX5032GA";"SMD Crystals, 8MHz, 12pF, 50ppm, Kyocera, Mouser : 581-CX5032GA08H0PST";"";"";"";"";"";"5 mm x 3.2 mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"1253-1691-1-ND";"";"500 uW";"";"200 Ohm";"";"";"8 MHz";"100 PPM";"";"";"";"";"";"";"";"";"";"";"12 pF";"";"";"";"Kyocera";"";"";"";"";"";"CX5032GA08000H0PST02";"";"";"";"581-CX5032GA08H0PST";"";"";"";"";"";"";"";"";"";"";"";"";"-40°C ~ 125°C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AEC-Q200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 PPM";"SMD Crystal";"";"";"";"";"";"";"";"";"";"";
"R1";"2K";"2K";"R0603";"±Resistor SMD 2 kΩ 1 %, ERJ-3EKF2001V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF2001V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF2001V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF2001V";"";"";"";"";"75VDC";"";"";"";"";"";
"R2";"2K";"2K";"R0603";"±Resistor SMD 2 kΩ 1 %, ERJ-3EKF2001V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF2001V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF2001V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF2001V";"";"";"";"";"75VDC";"";"";"";"";"";
"R3";"5K1";"5K1";"R0603";"±Resistor SMD 5,1 kΩ, 1 %, 0,1W, ERJ-3EKF5101V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF5101V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-965";"";"";"";" 2059378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF5101V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF5101V";"";"";"";"";"75VDC";"";"";"";"";"";
"R4";"5K1";"5K1";"R0603";"±Resistor SMD 5,1 kΩ, 1 %, 0,1W, ERJ-3EKF5101V, Panasonic, Case 0603, Mouser : 667-ERJ-3EKF5101V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-965";"";"";"";" 2059378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-3EKF5101V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"ERJ-3EKF5101V";"";"";"";"";"75VDC";"";"";"";"";"";
"R5";"24E";"24E";"R0402";"±Resistor SMD 24Ω, 1 %, 100mW 50V, ERJ-2RKF24R0X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF24R0X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2302458";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF24R0X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF24R0X";"";"";"";"";"50V";"";"";"";"";"";
"R6";"24E";"24E";"R0402";"±Resistor SMD 24Ω, 1 %, 100mW 50V, ERJ-2RKF24R0X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF24R0X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2302458";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF24R0X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF24R0X";"";"";"";"";"50V";"";"";"";"";"";
"R7";"1K";"1K";"R0603";"±Resistor SMD 1 kΩ, 1 %, 0,1W, ERJ-3EKF1001V , Panasonic, Case 0603, Mouser : 667-ERJ-3EKF1001V";"";"";"";"";"";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"P1.00KHCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"ERJ-3EKF1001V";"";"";"";"";"667-ERJ-3EKF1001V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 ppm/°C";"";"";"±1%";"";"";"";"";"";"75VDC";"";"";"";"";"";
"R8";"1K3";"1K3";"R0402";"±Resistor SMD 1,3 kΩ 1 % 100mW 50V, ERJ-2RKF1301X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF1301X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-644";"";"";"";"2059130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF1301X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF1301X";"";"";"";"";"50V";"";"";"";"";"";
"R9";"10K";"10K";"R0402";"±Resistor SMD 10KΩ, 1 %, 100mW 50V, ERJ-2RKF1002X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF1002X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-626";"";"";"";"2302739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF1002X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF1002X";"";"";"";"";"50V";"";"";"";"";"";
"R10";"510E";"510E";"R0402";"±Resistor SMD 510Ω, 1 %, 100mW 50V, ERJ-2RKF5100X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF5100X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-749";"";"";"";"2302602";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF5100X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF5100X";"";"";"";"";"50V";"";"";"";"";"";
"R11";"330E";"330E";"R0402";"±Resistor SMD 330Ω, 1 %, 100mW 50V, ERJ-2RKF3300X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF3300X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-708";"";"";"";"2302581";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF3300X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF3300X";"";"";"";"";"50V";"";"";"";"";"";
"R12";"22E";"22E";"R0402";"±Resistor SMD 24Ω, 1 %, 100mW 50V, ERJ-2RKF24R0X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF24R0X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vishey";"";"";"";"";"";"";"";"";"";"71-CRCW010022R0FREL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 125 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"30mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"250 PPM / C ";"";"";"±1%";"CRCW010022R0FREL";"";"";"";"";"15V";"";"";"";"";"";
"R13";"10K";"10K";"R0402";"±Resistor SMD 10KΩ, 1 %, 100mW 50V, ERJ-2RKF1002X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF1002X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-626";"";"";"";"2302739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF1002X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF1002X";"";"";"";"";"50V";"";"";"";"";"";
"R14";"22E";"22E";"R0402";"±Resistor SMD 24Ω, 1 %, 100mW 50V, ERJ-2RKF24R0X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF24R0X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vishey";"";"";"";"";"";"";"";"";"";"71-CRCW010022R0FREL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 125 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"30mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"250 PPM / C ";"";"";"±1%";"CRCW010022R0FREL";"";"";"";"";"15V";"";"";"";"";"";
"R15";"10K";"10K";"R0402";"±Resistor SMD 10KΩ, 1 %, 100mW 50V, ERJ-2RKF1002X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF1002X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-626";"";"";"";"2302739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF1002X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF1002X";"";"";"";"";"50V";"";"";"";"";"";
"R16";"10K";"10K";"R0402";"±Resistor SMD 10KΩ, 1 %, 100mW 50V, ERJ-2RKF1002X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF1002X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-626";"";"";"";"2302739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF1002X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF1002X";"";"";"";"";"50V";"";"";"";"";"";
"R17";"10K";"10K";"R0402";"±Resistor SMD 10KΩ, 1 %, 100mW 50V, ERJ-2RKF1002X, Panasonic, Case 0402, Mouser : 667-ERJ-2RKF1002X";"";"";"";"";"";"0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300-37-626";"";"";"";"2302739";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-ERJ-2RKF1002X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"- 55 C to + 155 C";"";"";"";"";"";"";"";"";"";"";"";"";"";"100mW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100 PPM / C ";"";"";"±1%";"ERJ-2RKF1002X";"";"";"";"";"50V";"";"";"";"";"";
"SW1";"EVQ-P2T02M";"EVQ-P2T02M";"EVQ-P2T02M";"Tactile Switches FLAT ACT 2.4NF 4.7x3.5x2.1mm, Panasonic, EVQ-P2T02M, Mouser : 667-EVQ-P2T02M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20mA";"";"";"";"P11082SCT-ND";"";"";"";"";"2459541";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"";"";"";"";"";"";"";"667-EVQ-P2T02M";"";"";"";"";"";"";"";"";"";"";"2.4N";"";"";"";" 40 C to + 85 C ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tactile Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OFF - (ON)";"";"";"";"";"EVQ-P2T02M";"";"";"";"";"";"15 VDC";"";"";"";"";
"WIFI1";"ESP8266";"ESP8266";"ESP8266";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.4GHz";"";"";"";"";"";"";"";"";"";"";"";"";"Espressif System";"";"";"";"";"";"";"";"";"";"";"356-ESPWROOM-02D ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"170mA";"";"2.93CHF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3.3V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
